award_year,category,share,prize_amount,prize_amount_adjusted,date_awarded,laureate_id,name,gender,birth_date,birth_continent,birth_country,death_date,type
1993,Physics,1/2,6700000,9044276,1993-10-13,144,Joseph H. Taylor Jr.,male,1941-03-29,North America,USA,not dead or organization,Individual
1985,Physiology or Medicine,1/2,1800000,3843964,not specified,433,Joseph L. Goldstein,male,1940-04-18,North America,USA,not dead or organization,Individual
1995,Peace,1/2,7200000,9278351,1995-10-13,560,Joseph Rotblat,male,1908-11-04,Europe,Russian Empire,2005-08-31,Individual
1958,Physiology or Medicine,1/2,214559,2646698,not specified,366,Joshua Lederberg,male,1925-05-23,North America,USA,2008-02-02,Individual
2016,Peace,1,8000000,8301051,2016-10-07,934,Juan Manuel Santos,male,1951-08-10,South America,Colombia,not dead or organization,Individual
1956,Literature,1,200123,2699501,not specified,627,Juan Ramón Jiménez,male,1881-12-24,Europe,Spain,1958-05-29,Individual
2011,Physiology or Medicine,1/4,10000000,10545557,not specified,862,Jules A. Hoffmann,male,1941-08-02,Europe,Luxembourg,not dead or organization,Individual
1919,Physiology or Medicine,1,133127,2377268,not specified,309,Jules Bordet,male,1870-06-13,Europe,Belgium,1961-04-06,Individual
1965,Physics,1/3,282000,2782895,not specified,85,Julian Schwinger,male,1918-02-12,North America,USA,1994-07-16,Individual
1970,Physiology or Medicine,1/3,400000,3177966,1970-10-15,396,Julius Axelrod,male,1912-05-30,North America,USA,2004-12-29,Individual
1927,Physiology or Medicine,1,126501,3593778,not specified,317,Julius Wagner-Jauregg,male,1857-03-07,Europe,Austria,1940-09-27,Individual
1987,Physics,1/2,2175000,4274764,1987-10-14,131,K. Alex Müller,male,1927-04-20,Europe,Switzerland,not dead or organization,Individual
1981,Physics,1/2,1000000,2929688,1981-10-19,120,Kai M. Siegbahn,male,1918-04-20,Europe,Sweden,2007-07-20,Individual
2014,Peace,1/2,8000000,8379888,2014-10-10,913,Kailash Satyarthi,male,1954-01-11,Asia,India,not dead or organization,Individual
1917,Literature,1/2,133823,3920596,1917-11-08,586,Karl Gjellerup,male,1857-06-02,Europe,Denmark,1919-10-11,Individual
1930,Physiology or Medicine,1,172947,5066807,not specified,321,Karl Landsteiner,male,1868-06-14,Europe,Austrian Empire,1943-06-26,Individual
1973,Physiology or Medicine,1/3,510000,3331882,not specified,400,Karl von Frisch,male,1886-11-20,Europe,Austria,1982-06-12,Individual
1963,Chemistry,1/2,265000,2839286,not specified,228,Karl Ziegler,male,1898-11-26,Europe,Germany,1973-08-12,Individual
1993,Chemistry,1/2,6700000,9044276,1993-10-13,278,Kary B. Mullis,male,1944-12-28,North America,USA,2019-08-07,Individual
2017,Literature,1,9000000,9176183,2017-10-05,947,Kazuo Ishiguro,male,1954-11-08,Asia,Japan,not dead or organization,Individual
1967,Physiology or Medicine,1/3,320000,2843602,not specified,386,Keffer Hartline,male,1903-12-22,North America,USA,1983-03-17,Individual
1981,Chemistry,1/2,1000000,2929688,1981-10-19,257,Kenichi Fukui,male,1918-10-04,Asia,Japan,1998-01-09,Individual
1982,Physics,1,1150000,3102518,1982-10-18,121,Kenneth G. Wilson,male,1936-06-08,North America,USA,2013-06-15,Individual
1972,Economic Sciences,1/2,480000,3345725,1972-10-25,682,Kenneth J. Arrow,male,1921-08-23,North America,USA,2017-02-21,Individual
1994,Literature,1,7000000,9249471,not specified,671,Kenzaburo Oe,male,1935-01-31,Asia,Japan,not dead or organization,Individual
2000,Peace,1,9000000,11333109,2000-10-13,725,Kim Dae-jung,male,1925-12-03,Asia,Korea,2009-08-18,Individual
2017,Physics,1/4,9000000,9176183,2017-10-03,943,Kip S. Thorne,male,1940-06-01,North America,USA,not dead or organization,Individual
1908,Peace,1/2,139800,7084459,1908-12-10,473,Klas Pontus Arnoldson,male,1844-10-27,Europe,Sweden,1916-02-20,Individual
1985,Physics,1,1800000,3843964,1985-10-16,126,Klaus von Klitzing,male,1943-06-28,Europe,German-occupied Poland,not dead or organization,Individual
1920,Literature,1,134100,2394643,not specified,589,Knut Hamsun,male,1859-08-04,Europe,Norway,1952-02-19,Individual
2001,Peace,1/2,10000000,12295082,2001-10-12,749,Kofi Annan,male,1938-04-08,Africa,Gold Coast,2018-08-18,Individual
2002,Chemistry,1/4,10000000,12034660,2002-10-09,757,Koichi Tanaka,male,1959-08-03,Asia,Japan,not dead or organization,Individual
1964,Physiology or Medicine,1/2,273000,2828039,not specified,378,Konrad Bloch,male,1912-01-21,Europe,Germany,2000-10-15,Individual
1973,Physiology or Medicine,1/3,510000,3331882,not specified,401,Konrad Lorenz,male,1903-11-07,Europe,Austria,1989-02-27,Individual
2010,Physics,1/2,10000000,10819388,2010-10-05,850,Konstantin Novoselov,male,1974-08-23,Europe,Russia,not dead or organization,Individual
1950,Chemistry,1/2,164304,3050198,not specified,211,Kurt Alder,male,1902-07-10,Europe,Prussia,1958-06-20,Individual
2002,Chemistry,1/2,10000000,12034660,2002-10-09,758,Kurt Wüthrich,male,1938-10-04,Europe,Switzerland,not dead or organization,Individual
1968,Chemistry,1,350000,3052326,not specified,236,Lars Onsager,male,1903-11-27,Europe,Norway,1976-10-05,Individual
2013,Economic Sciences,1/3,8000000,8365867,2013-10-14,895,Lars Peter Hansen,male,1952-10-26,North America,USA,not dead or organization,Individual
1915,Physics,1/2,149223,6217625,1915-11-12,21,Lawrence Bragg,male,1890-03-31,Oceania,Australia,1971-07-01,Individual
1980,Economic Sciences,1,880000,2889667,1980-10-15,694,Lawrence R. Klein,male,1920-09-14,North America,USA,2013-10-20,Individual
1973,Peace,1/2,510000,3331882,1973-10-17,531,Le Duc Tho ,male,1911-10-14,Asia,Vietnam,1990-10-13,Individual
1963,Peace,1/2,265000,2839286,1963-10-10,523,League of Red Cross Societies,organization,1919-00-00,Europe,France,not dead or organization,Organization
1983,Peace,1,1500000,3715324,1983-10-05,545,Lech Walesa,male,1943-09-29,Europe,Poland,not dead or organization,Individual
2001,Physiology or Medicine,1/3,10000000,12295082,2001-10-08,735,Leland Hartwell,male,1939-10-30,North America,USA,not dead or organization,Individual
1973,Physics,1/4,510000,3331882,1973-10-23,97,Leo Esaki,male,1925-03-12,Asia,Japan,not dead or organization,Individual
1920,Peace,1,134100,2394643,1920-12-10,484,Léon Bourgeois,male,1851-05-21,Europe,France,1925-09-29,Individual
1951,Peace,1,167612,2686090,not specified,512,Léon Jouhaux,male,1879-07-01,Europe,France,1954-04-28,Individual
1988,Physics,1/3,2500000,4645689,1988-10-19,132,Leon M. Lederman,male,1922-07-15,North America,USA,2018-10-03,Individual
1972,Physics,1/3,480000,3345725,not specified,95,Leon N. Cooper,male,1930-02-28,North America,USA,not dead or organization,Individual
2007,Economic Sciences,1/3,10000000,11301989,2007-10-15,820,Leonid Hurwicz,male,1917-08-21,Europe,Russia,2008-06-24,Individual
1975,Economic Sciences,1/2,630000,3404179,1975-10-14,686,Leonid Vitaliyevich Kantorovich,male,1912-01-19,Europe,Russian Empire,1986-04-07,Individual
1939,Chemistry,1/2,148822,4227898,not specified,200,Leopold Ruzicka,male,1887-09-13,Europe,Austria-Hungary,1976-09-26,Individual
1957,Peace,1,208629,2697789,1957-10-03,516,Lester Bowles Pearson,male,1897-04-23,North America,Canada,1972-12-27,Individual
1962,Physics,1,257220,2836985,not specified,77,Lev Landau,male,1908-01-22,Asia,Russian Empire,1968-04-01,Individual
2011,Peace,1/3,10000000,10545557,2011-10-07,870,Leymah Gbowee,female,1972-02-01,Africa,Liberia,not dead or organization,Individual
2004,Physiology or Medicine,1/2,10000000,11762861,2004-10-04,775,Linda B. Buck,female,1947-01-29,North America,USA,not dead or organization,Individual
1962,Peace,1,257220,2836985,1963-10-10,217,Linus Pauling,male,1901-02-28,North America,USA,1994-08-19,Individual
2010,Peace,1,10000000,10819388,2010-10-08,855,Liu Xiaobo,male,1955-12-28,Asia,China,2017-07-13,Individual
2012,Economic Sciences,1/2,8000000,8361204,2012-10-15,883,Lloyd S. Shapley,male,1923-06-02,North America,USA,2016-03-12,Individual
1949,Peace,1,156290,2930438,1949-10-12,510,Lord Boyd Orr,male,1880-09-23,Europe,Scotland,1971-06-25,Individual
1904,Physics,1,140859,7767960,not specified,8,Lord Rayleigh,male,1842-11-12,Europe,United Kingdom,1919-06-30,Individual
1957,Chemistry,1,208629,2697789,not specified,221,Lord Todd,male,1907-10-02,Europe,Scotland,1997-01-10,Individual
1929,Physics,1,172760,4907955,not specified,36,Louis de Broglie,male,1892-08-15,Europe,France,1987-03-19,Individual
1998,Physiology or Medicine,1/3,7600000,9713701,not specified,459,Louis J. Ignarro,male,1941-05-31,North America,USA,not dead or organization,Individual
1970,Physics,1/2,400000,3177966,1970-10-27,92,Louis Néel,male,1904-11-22,Europe,France,2000-11-17,Individual
1907,Peace,1/2,138796,7033581,1907-12-10,472,Louis Renault,male,1843-05-21,Europe,France,1918-02-08,Individual
2008,Physiology or Medicine,1/4,10000000,10926573,2008-10-06,825,Luc Montagnier,male,1932-08-18,Europe,France,not dead or organization,Individual
1927,Peace,1/2,126501,3593778,1927-12-10,493,Ludwig Quidde,male,1858-03-23,Europe,Germany,1941-03-04,Individual
1934,Literature,1,162608,5167627,not specified,607,Luigi Pirandello,male,1867-06-28,Europe,Italy,1936-12-10,Individual
1968,Physics,1,350000,3052326,not specified,89,Luis Alvarez,male,1911-06-13,North America,USA,1988-09-01,Individual
1970,Chemistry,1,400000,3177966,1970-10-27,239,Luis Leloir,male,1906-09-06,Europe,France,1987-12-02,Individual
2019,Chemistry,1/3,9000000,9000000,2019-10-09,977,M. Stanley Whittingham,male,1941-12-22,Europe,United Kingdom,not dead or organization,Individual
1976,Peace,1/2,681000,3342605,1977-10-10,536,Mairead Corrigan,female,1944-01-27,Europe,Northern Ireland,not dead or organization,Individual
2008,Physics,1/4,10000000,10926573,2008-10-07,827,Makoto Kobayashi,male,1944-04-07,Asia,Japan,not dead or organization,Individual
2014,Peace,1/2,8000000,8379888,2014-10-10,914,Malala Yousafzai,female,1997-07-12,Asia,Pakistan,not dead or organization,Individual
1967,Chemistry,1/2,320000,2843602,not specified,233,Manfred Eigen,male,1927-05-09,Europe,Germany,2019-02-06,Individual
1924,Physics,1,116719,3218355,not specified,29,Manne Siegbahn,male,1886-12-03,Europe,Sweden,1978-09-26,Individual
1963,Physics,1/4,265000,2839286,not specified,79,Maria Goeppert Mayer,female,1906-06-28,Europe,Germany,1972-02-20,Individual
1903,Physics,1/4,141358,7795478,not specified,6,Marie Curie,female,1867-11-07,Europe,Russian Empire,1934-07-04,Individual
1995,Chemistry,1/3,7200000,9278351,1995-10-11,282,Mario J. Molina,male,1943-03-19,North America,Mexico,not dead or organization,Individual
2007,Physiology or Medicine,1/3,10000000,11301989,2007-10-08,811,Mario R. Capecchi,male,1937-10-06,Europe,Italy,not dead or organization,Individual
2010,Literature,1,10000000,10819388,2010-10-07,854,Mario Vargas Llosa,male,1936-03-28,South America,Peru,not dead or organization,Individual
1968,Physiology or Medicine,1/3,350000,3052326,not specified,390,Marshall W. Nirenberg,male,1927-04-10,North America,USA,2010-01-15,Individual
2008,Chemistry,1/3,10000000,10926573,2008-10-08,830,Martin Chalfie,male,1947-01-15,North America,USA,not dead or organization,Individual
2013,Chemistry,1/3,8000000,8365867,2013-10-09,889,Martin Karplus,male,1930-03-15,Europe,Austria,not dead or organization,Individual
1995,Physics,1/2,7200000,9278351,1995-10-11,147,Martin L. Perl,male,1927-06-24,North America,USA,2014-09-30,Individual
1964,Peace,1,273000,2828039,1964-10-14,524,Martin Luther King Jr.,male,1929-01-15,North America,USA,1968-04-04,Individual
1994,Physiology or Medicine,1/2,7000000,9249471,1994-10-10,451,Martin Rodbell,male,1925-12-01,North America,USA,1998-12-07,Individual
1974,Physics,1/2,550000,3263449,1974-10-15,100,Martin Ryle,male,1918-09-27,Europe,United Kingdom,1984-10-14,Individual
