award_year,category,share,prize_amount,prize_amount_adjusted,date_awarded,laureate_id,name,gender,birth_date,birth_continent,birth_country,death_date,type
1931,Physiology or Medicine,1,173206,5238085,not specified,322,Otto Warburg,male,1883-10-08,Europe,Germany,1970-08-01,Individual
1959,Physics,1/2,220678,2704387,not specified,73,Owen Chamberlain,male,1920-07-10,North America,USA,2006-02-28,Individual
1928,Physics,1,156939,4458494,not specified,35,Owen Willans Richardson,male,1879-04-26,Europe,United Kingdom,1959-02-15,Individual
1971,Literature,1,450000,3321850,not specified,645,Pablo Neruda,male,1904-07-12,South America,Chile,1973-09-23,Individual
1951,Literature,1,167612,2686090,not specified,622,Pär Lagerkvist,male,1891-05-23,Europe,Sweden,1974-07-11,Individual
1948,Physics,1,159773,3056881,not specified,53,Patrick M.S. Blackett,male,1897-11-18,Europe,United Kingdom,1974-07-13,Individual
2014,Literature,1,8000000,8379888,2014-10-09,912,Patrick Modiano,male,1945-07-30,Europe,France,not dead or organization,Individual
1973,Literature,1,510000,3331882,not specified,648,Patrick White,male,1912-05-28,Europe,United Kingdom,1990-09-30,Individual
1970,Economic Sciences,1,400000,3177966,1970-10-26,679,Paul A. Samuelson,male,1915-05-15,North America,USA,2009-12-13,Individual
1933,Physics,1/2,170332,5413093,not specified,40,Paul A.M. Dirac,male,1902-08-08,Europe,United Kingdom,1984-10-20,Individual
1980,Chemistry,1/2,880000,2889667,1980-10-14,254,Paul Berg,male,1926-06-30,North America,USA,not dead or organization,Individual
2003,Physiology or Medicine,1/2,10000000,11807305,2003-10-06,764,Paul C. Lauterbur,male,1929-05-06,North America,USA,2007-03-27,Individual
1997,Chemistry,1/4,7500000,9572839,1997-10-15,287,Paul D. Boyer,male,1918-07-31,North America,USA,2018-06-02,Individual
1908,Physiology or Medicine,1/2,139800,7084459,not specified,302,Paul Ehrlich,male,1854-03-14,Europe,Prussia,1915-08-20,Individual
2000,Physiology or Medicine,1/3,9000000,11333109,2000-10-09,723,Paul Greengard,male,1925-12-11,North America,USA,2019-04-13,Individual
1909,Peace,1/2,139800,7084459,1909-12-10,476,Paul Henri d'Estournelles de Constant,male,1852-11-22,Europe,France,1924-05-15,Individual
1910,Literature,1,140703,7130220,not specified,580,Paul Heyse,male,1830-03-15,Europe,Prussia,1914-04-02,Individual
1995,Chemistry,1/3,7200000,9278351,1995-10-11,281,Paul J. Crutzen,male,1933-12-03,Europe,the Netherlands,not dead or organization,Individual
1974,Chemistry,1,550000,3263449,1974-10-15,246,Paul J. Flory,male,1910-06-19,North America,USA,1985-09-08,Individual
1937,Chemistry,1/2,158463,4716161,not specified,197,Paul Karrer,male,1889-04-21,Europe,Russia,1971-06-18,Individual
2008,Economic Sciences,1,10000000,10926573,2008-10-13,834,Paul Krugman,male,1953-02-28,North America,USA,not dead or organization,Individual
2018,Economic Sciences,1/2,9000000,9000000,not specified,969,Paul M. Romer,male,1955-00-00,North America,USA,not dead or organization,Individual
2015,Chemistry,1/3,8000000,8384572,2015-10-07,922,Paul Modrich,male,1946-06-13,North America,USA,not dead or organization,Individual
1948,Physiology or Medicine,1,159773,3056881,not specified,346,Paul Müller,male,1899-01-12,Europe,Switzerland,1965-10-12,Individual
1912,Chemistry,1/2,140476,6753654,not specified,173,Paul Sabatier,male,1854-11-05,Europe,France,1941-08-14,Individual
1958,Physics,1/3,214559,2646698,not specified,70,Pavel A. Cherenkov,male,1904-07-28,Europe,Russia,1990-01-06,Individual
1938,Literature,1,155077,4543271,not specified,610,Pearl Buck,female,1892-06-26,North America,USA,1973-03-06,Individual
1946,Physics,1,121524,2503929,not specified,51,Percy W. Bridgman,male,1882-04-21,North America,USA,1961-08-20,Individual
1910,Peace,1,140703,7130220,1910-12-10,477,Permanent International Peace Bureau,organization,1891-00-00,Europe,Switzerland,not dead or organization,Organization
2010,Economic Sciences,1/3,10000000,10819388,2010-10-11,856,Peter A. Diamond,male,1940-04-29,North America,USA,not dead or organization,Individual
2003,Chemistry,1/2,10000000,11807305,2003-10-08,769,Peter Agre,male,1949-01-30,North America,USA,not dead or organization,Individual
1996,Physiology or Medicine,1/2,7400000,9490424,1996-10-07,455,Peter C. Doherty,male,1940-10-15,Oceania,Australia,not dead or organization,Individual
1936,Chemistry,1,159850,4913422,not specified,195,Peter Debye,male,1884-03-24,Europe,the Netherlands,1966-11-02,Individual
2007,Physics,1/2,10000000,11301989,2007-10-09,815,Peter Grünberg,male,1939-05-18,Europe,Czechoslovakia,2018-04-09,Individual
2019,Literature,1,9000000,9000000,2019-10-10,980,Peter Handke,male,1942-12-06,Europe,Austria,not dead or organization,Individual
2013,Physics,1/2,8000000,8365867,2013-10-08,888,Peter Higgs,male,1929-05-29,Europe,United Kingdom,not dead or organization,Individual
1960,Physiology or Medicine,1/2,225987,2664941,1960-10-20,370,Peter Medawar,male,1915-02-28,South America,Brazil,1987-10-02,Individual
1978,Chemistry,1,725000,2898454,1978-10-17,251,Peter Mitchell,male,1920-09-29,Europe,United Kingdom,1992-04-10,Individual
1966,Physiology or Medicine,1/2,300000,2784653,not specified,383,Peyton Rous,male,1879-10-05,North America,USA,1970-02-16,Individual
1959,Peace,1,220678,2704387,1959-11-05,518,Philip Noel-Baker,male,1889-11-01,Europe,United Kingdom,1982-10-08,Individual
1950,Physiology or Medicine,1/3,164304,3050198,not specified,351,Philip S. Hench,male,1896-02-28,North America,USA,1965-03-30,Individual
1977,Physics,1/3,700000,3080986,1977-10-11,107,Philip W. Anderson,male,1923-12-13,North America,USA,2020-03-29,Individual
1905,Physics,1,138089,7615202,not specified,9,Philipp Lenard,male,1862-06-07,Europe,Hungary,1947-05-20,Individual
1993,Physiology or Medicine,1/2,6700000,9044276,1993-10-11,449,Phillip A. Sharp,male,1944-06-06,North America,USA,not dead or organization,Individual
1903,Physics,1/4,141358,7795478,not specified,5,Pierre Curie,male,1859-05-15,Europe,France,1906-04-19,Individual
1991,Physics,1,6000000,8673863,1991-10-16,141,Pierre-Gilles de Gennes,male,1932-10-24,Europe,France,2007-05-18,Individual
1902,Physics,1/2,141847,8059489,not specified,3,Pieter Zeeman,male,1865-05-25,Europe,the Netherlands,1943-10-09,Individual
1955,Physics,1/2,190214,2681588,1955-11-02,64,Polykarp Kusch,male,1911-01-26,Europe,Germany,1993-03-20,Individual
1995,Peace,1/2,7200000,9278351,1995-10-13,561,Pugwash Conferences on Science and World Affairs,organization,1957-00-00,North America,Canada,not dead or organization,Organization
1978,Physics,1/2,725000,2898454,1978-10-17,110,Pyotr Kapitsa,male,1894-07-09,Europe,Russian Empire,1984-04-08,Individual
1913,Literature,1,143010,6875481,not specified,583,Rabindranath Tagore,male,1861-05-07,Asia,India,1941-08-07,Individual
1969,Economic Sciences,1/2,375000,3181561,not specified,677,Ragnar Frisch,male,1895-03-03,Europe,Norway,1973-01-31,Individual
1967,Physiology or Medicine,1/3,320000,2843602,not specified,385,Ragnar Granit,male,1900-10-30,Europe,Russian Empire,1991-03-12,Individual
2017,Physics,1/2,9000000,9176183,2017-10-03,941,Rainer Weiss,male,1932-09-29,Europe,Germany,not dead or organization,Individual
1950,Peace,1,164304,3050198,1950-09-22,511,Ralph Bunche,male,1904-08-07,North America,USA,1971-12-09,Individual
2011,Physiology or Medicine,1/2,10000000,10545557,not specified,863,Ralph M. Steinman,male,1943-01-14,North America,Canada,2011-09-30,Individual
1903,Peace,1,141358,7795478,1903-12-10,466,Randal Cremer,male,1828-03-18,Europe,United Kingdom,1908-07-22,Individual
2013,Physiology or Medicine,1/3,8000000,8365867,not specified,885,Randy W. Schekman,male,1948-12-30,North America,USA,not dead or organization,Individual
2002,Physics,1/4,10000000,12034660,2002-10-08,753,Raymond Davis Jr.,male,1914-10-14,North America,USA,2006-05-31,Individual
1994,Economic Sciences,1/3,7000000,9249471,1994-10-11,713,Reinhard Selten,male,1930-10-05,Europe,Germany,2016-08-23,Individual
1975,Physiology or Medicine,1/3,630000,3404179,1975-10-16,407,Renato Dulbecco,male,1914-02-22,Europe,Italy,2012-02-19,Individual
1968,Peace,1,350000,3052326,1968-10-09,526,René Cassin,male,1887-10-05,Europe,France,1976-02-20,Individual
2002,Physics,1/2,10000000,12034660,2002-10-08,755,Riccardo Giacconi,male,1931-10-06,Europe,Italy,2018-12-16,Individual
2004,Physiology or Medicine,1/2,10000000,11762861,2004-10-04,774,Richard Axel,male,1946-07-02,North America,USA,not dead or organization,Individual
1996,Chemistry,1/3,7400000,9490424,1996-10-09,286,Richard E. Smalley,male,1943-06-06,North America,USA,2005-10-28,Individual
1990,Physics,1/3,4000000,6329114,1990-10-17,140,Richard E. Taylor,male,1929-11-02,North America,Canada,2018-02-22,Individual
2010,Chemistry,1/3,10000000,10819388,2010-10-06,851,Richard F. Heck,male,1931-08-15,North America,USA,2015-10-09,Individual
2017,Economic Sciences,1,9000000,9176183,2017-10-09,949,Richard H. Thaler,male,1945-09-12,North America,USA,not dead or organization,Individual
2017,Chemistry,1/3,9000000,9176183,2017-10-04,946,Richard Henderson,male,1945-07-19,Europe,Scotland,not dead or organization,Individual
1993,Physiology or Medicine,1/2,6700000,9044276,1993-10-11,448,Richard J. Roberts,male,1943-09-06,Europe,United Kingdom,not dead or organization,Individual
1938,Chemistry,1,155077,4543271,not specified,198,Richard Kuhn,male,1900-12-03,Europe,Austria-Hungary,1967-07-31,Individual
1952,Chemistry,1/2,171135,2546652,not specified,215,Richard L.M. Synge,male,1914-10-28,Europe,United Kingdom,1994-08-18,Individual
1965,Physics,1/3,282000,2782895,not specified,86,Richard P. Feynman,male,1918-05-11,North America,USA,1988-02-15,Individual
1991,Chemistry,1,6000000,8673863,not specified,276,Richard R. Ernst,male,1933-08-14,Europe,Switzerland,not dead or organization,Individual
2005,Chemistry,1/3,10000000,11711430,2005-10-05,796,Richard R. Schrock,male,1945-01-04,North America,USA,not dead or organization,Individual
1984,Economic Sciences,1,1650000,3782090,1984-10-18,698,Richard Stone,male,1913-08-30,Europe,United Kingdom,1991-12-06,Individual
1915,Chemistry,1,149223,6217625,1915-11-11,176,Richard Willstätter,male,1872-08-13,Europe,Germany,1942-08-03,Individual
1925,Chemistry,1,118165,3211005,not specified,182,Richard Zsigmondy,male,1865-04-01,Europe,Austrian Empire,1929-09-24,Individual
1992,Peace,1,6500000,9184250,1992-10-16,554,Rigoberta Menchú Tum,female,1959-01-09,North America,Guatemala,not dead or organization,Individual
1986,Physiology or Medicine,1/2,2000000,4098361,not specified,435,Rita Levi-Montalcini,female,1909-04-22,Europe,Italy,2012-12-30,Individual
1981,Chemistry,1/2,1000000,2929688,1981-10-19,258,Roald Hoffmann,male,1937-07-18,Europe,Poland,not dead or organization,Individual
1923,Physics,1,114935,3169164,not specified,28,Robert A. Millikan,male,1868-03-22,North America,USA,1953-12-19,Individual
1998,Physics,1/3,7600000,9713701,1998-10-13,155,Robert B. Laughlin,male,1950-11-01,North America,USA,not dead or organization,Individual
1965,Chemistry,1,282000,2782895,not specified,231,Robert B. Woodward,male,1917-04-10,North America,USA,1979-07-08,Individual
1914,Physiology or Medicine,1,146900,7062500,1915-10-29,308,Robert Bárány,male,1876-04-22,Europe,Austria,1936-04-08,Individual
1997,Economic Sciences,1/2,7500000,9572839,1997-10-14,717,Robert C. Merton,male,1944-07-31,North America,USA,not dead or organization,Individual
1996,Physics,1/3,7400000,9490424,1996-10-09,151,Robert C. Richardson,male,1937-06-26,North America,USA,2013-02-19,Individual
1937,Peace,1,158463,4716161,1937-11-18,502,"Robert Cecil, Viscount Cecil of Chelwood",male,1864-09-14,Europe,United Kingdom,1958-11-24,Individual
1995,Economic Sciences,1,7200000,9278351,1995-10-10,714,Robert E. Lucas Jr.,male,1937-09-15,North America,USA,not dead or organization,Individual
1996,Chemistry,1/3,7400000,9490424,1996-10-09,284,Robert F. Curl Jr.,male,1933-08-23,North America,USA,not dead or organization,Individual
2003,Economic Sciences,1/2,10000000,11807305,2003-10-08,771,Robert F. Engle III,male,1942-11-10,North America,USA,not dead or organization,Individual
1998,Physiology or Medicine,1/3,7600000,9713701,not specified,458,Robert F. Furchgott,male,1916-06-04,North America,USA,2009-05-19,Individual
2010,Physiology or Medicine,1,10000000,10819388,not specified,848,Robert G. Edwards,male,1925-09-27,Europe,United Kingdom,2013-04-10,Individual
2005,Chemistry,1/3,10000000,11711430,2005-10-05,795,Robert H. Grubbs,male,1942-02-27,North America,USA,not dead or organization,Individual
1961,Physics,1/2,250233,2878447,not specified,75,Robert Hofstadter,male,1915-02-05,North America,USA,1990-11-17,Individual
1988,Chemistry,1/3,2500000,4645689,1988-10-19,271,Robert Huber,male,1937-02-20,Europe,Germany,not dead or organization,Individual
2005,Economic Sciences,1/2,10000000,11711430,2005-10-10,799,Robert J. Aumann,male,1930-06-08,Europe,Germany,not dead or organization,Individual
2012,Chemistry,1/2,8000000,8361204,2012-10-10,878,Robert J. Lefkowitz,male,1943-04-15,North America,USA,not dead or organization,Individual
2013,Economic Sciences,1/3,8000000,8365867,2013-10-14,896,Robert J. Shiller,male,1946-03-29,North America,USA,not dead or organization,Individual
1905,Physiology or Medicine,1,138089,7615202,not specified,297,Robert Koch,male,1843-12-11,Europe,Germany,1910-05-27,Individual
1987,Economic Sciences,1,2175000,4274764,1987-10-21,701,Robert M. Solow,male,1924-08-23,North America,USA,not dead or organization,Individual
1999,Economic Sciences,1,7900000,10049186,1999-10-13,720,Robert Mundell,male,1932-10-24,North America,Canada,not dead or organization,Individual
1966,Chemistry,1,300000,2784653,not specified,232,Robert S. Mulliken,male,1896-06-07,North America,USA,1986-10-31,Individual
1972,Physics,1/3,480000,3345725,not specified,96,Robert Schrieffer,male,1931-05-31,North America,USA,2019-07-27,Individual
1993,Economic Sciences,1/2,6700000,9044276,1993-10-12,709,Robert W. Fogel,male,1927-07-01,North America,USA,2013-06-11,Individual
1968,Physiology or Medicine,1/3,350000,3052326,not specified,388,Robert W. Holley,male,1922-01-28,North America,USA,1993-02-11,Individual
1978,Physics,1/4,725000,2898454,1978-10-17,112,Robert Woodrow Wilson,male,1936-01-10,North America,USA,not dead or organization,Individual
2003,Chemistry,1/2,10000000,11807305,2003-10-08,770,Roderick MacKinnon,male,1956-02-19,North America,USA,not dead or organization,Individual
1972,Physiology or Medicine,1/2,480000,3345725,not specified,399,Rodney R. Porter,male,1917-10-08,Europe,United Kingdom,1985-09-06,Individual
2007,Economic Sciences,1/3,10000000,11301989,2007-10-15,822,Roger B. Myerson,male,1951-03-29,North America,USA,not dead or organization,Individual
2006,Chemistry,1,10000000,11552680,2006-10-04,806,Roger D. Kornberg,male,1947-04-24,North America,USA,not dead or organization,Individual
1977,Physiology or Medicine,1/4,700000,3080986,not specified,411,Roger Guillemin,male,1924-01-11,Europe,France,not dead or organization,Individual
1937,Literature,1,158463,4716161,not specified,609,Roger Martin du Gard,male,1881-03-23,Europe,France,1958-08-22,Individual
1981,Physiology or Medicine,1/2,1000000,2929688,1981-10-09,422,Roger W. Sperry,male,1913-08-20,North America,USA,1994-04-17,Individual
2008,Chemistry,1/3,10000000,10926573,2008-10-08,831,Roger Y. Tsien,male,1952-02-01,North America,USA,2016-08-24,Individual
1996,Physiology or Medicine,1/2,7400000,9490424,1996-10-07,456,Rolf M. Zinkernagel,male,1944-01-06,Europe,Switzerland,not dead or organization,Individual
1915,Literature,1,149223,6217625,1916-11-09,584,Romain Rolland,male,1866-01-29,Europe,France,1944-12-30,Individual
1967,Chemistry,1/4,320000,2843602,not specified,234,Ronald G.W. Norrish,male,1897-11-09,Europe,United Kingdom,1978-06-07,Individual
1991,Economic Sciences,1,6000000,8673863,1991-10-15,707,Ronald H. Coase,male,1910-12-29,Europe,United Kingdom,2013-09-02,Individual
1902,Physiology or Medicine,1,141847,8059489,not specified,294,Ronald Ross,male,1857-05-13,Asia,India,1932-09-16,Individual
1977,Physiology or Medicine,1/2,700000,3080986,not specified,413,Rosalyn Yalow,female,1921-07-19,North America,USA,2011-05-30,Individual
2005,Physics,1/2,10000000,11711430,2005-10-04,791,Roy J. Glauber,male,1925-09-01,North America,USA,2018-12-26,Individual
1908,Literature,1,139800,7084459,not specified,578,Rudolf Eucken,male,1846-01-05,Europe,East Friesland,1926-09-14,Individual
1961,Physics,1/2,250233,2878447,not specified,76,Rudolf Mössbauer,male,1929-01-31,Europe,Germany,2011-09-14,Individual
1992,Chemistry,1,6500000,9184250,1992-10-12,277,Rudolph A. Marcus,male,1923-07-21,North America,Canada,not dead or organization,Individual
1907,Literature,1,138796,7033581,not specified,577,Rudyard Kipling,male,1865-12-30,Asia,British India,1936-01-18,Individual
1993,Physics,1/2,6700000,9044276,1993-10-13,143,Russell A. Hulse,male,1950-11-28,North America,USA,not dead or organization,Individual
2001,Chemistry,1/4,10000000,12295082,2001-10-10,742,Ryoji Noyori,male,1938-09-03,Asia,Japan,not dead or organization,Individual
1960,Literature,1,225987,2664941,1960-10-26,631,Saint-John Perse,male,1887-05-31,North America,Guadeloupe Island,1975-09-20,Individual
1969,Physiology or Medicine,1/3,375000,3181561,not specified,393,Salvador E. Luria,male,1912-08-13,Europe,Italy,1991-02-06,Individual
1959,Literature,1,220678,2704387,not specified,630,Salvatore Quasimodo,male,1901-08-20,Europe,Italy,1968-06-14,Individual
1969,Literature,1,375000,3181561,not specified,643,Samuel Beckett,male,1906-04-13,Europe,Ireland,1989-12-22,Individual
1976,Physics,1/2,681000,3342605,1976-10-18,106,Samuel C.C. Ting,male,1936-01-27,North America,USA,not dead or organization,Individual
1906,Physiology or Medicine,1/2,138536,7421571,not specified,299,Santiago Ramón y Cajal,male,1852-05-01,Europe,Spain,1934-10-17,Individual
2015,Physiology or Medicine,1/4,8000000,8384572,not specified,917,Satoshi &#332;mura,male,1935-07-12,Asia,Japan,not dead or organization,Individual
1976,Literature,1,681000,3342605,not specified,652,Saul Bellow,male,1915-06-10,North America,Canada,2005-04-05,Individual
2011,Physics,1/2,10000000,10545557,2011-10-04,864,Saul Perlmutter,male,1959-00-00,North America,USA,not dead or organization,Individual
1995,Literature,1,7200000,9278351,not specified,672,Seamus Heaney,male,1939-04-13,Europe,Northern Ireland,2013-08-30,Individual
1974,Peace,1/2,550000,3263449,1974-10-09,532,Seán MacBride,male,1904-01-26,Europe,France,1988-01-15,Individual
1909,Literature,1,139800,7084459,not specified,579,Selma Lagerlöf,female,1858-11-20,Europe,Sweden,1940-03-16,Individual
1952,Physiology or Medicine,1,171135,2546652,not specified,353,Selman A. Waksman,male,1888-07-22,Europe,Russian Empire,1973-08-16,Individual
2012,Physics,1/2,8000000,8361204,2012-10-09,876,Serge Haroche,male,1944-09-11,Africa,Morocco,not dead or organization,Individual
1959,Physiology or Medicine,1/2,220678,2704387,not specified,367,Severo Ochoa,male,1905-09-24,Europe,Spain,1993-11-01,Individual
1979,Physics,1/3,800000,2988048,1979-10-15,113,Sheldon Glashow,male,1932-12-05,North America,USA,not dead or organization,Individual
1994,Peace,1/3,7000000,9249471,1994-10-14,558,Shimon Peres,male,1923-08-16,Europe,Poland,2016-09-28,Individual
2012,Physiology or Medicine,1/2,8000000,8361204,not specified,875,Shinya Yamanaka,male,1962-09-04,Asia,Japan,not dead or organization,Individual
2003,Peace,1,10000000,11807305,2003-10-10,773,Shirin Ebadi,female,1947-06-21,Asia,Iran,not dead or organization,Individual
1966,Literature,1/2,300000,2784653,not specified,639,Shmuel Agnon,male,1888-07-17,Europe,Austria-Hungary,1970-02-17,Individual
2014,Physics,1/3,8000000,8379888,2014-10-07,908,Shuji Nakamura,male,1954-05-22,Asia,Japan,not dead or organization,Individual
1989,Chemistry,1/2,3000000,5242311,1989-10-12,273,Sidney Altman,male,1939-05-07,North America,Canada,not dead or organization,Individual
1928,Literature,1,156939,4458494,not specified,601,Sigrid Undset,female,1882-05-20,Europe,Denmark,1949-06-10,Individual
1971,Economic Sciences,1,450000,3321850,not specified,680,Simon Kuznets,male,1901-04-30,Europe,Russian Empire,1985-07-08,Individual
1984,Physics,1/2,1650000,3782090,1984-10-17,125,Simon van der Meer,male,1925-11-24,Europe,the Netherlands,2011-03-04,Individual
1965,Physics,1/3,282000,2782895,not specified,84,Sin-Itiro Tomonaga,male,1906-03-31,Asia,Japan,1979-07-08,Individual
1930,Literature,1,172947,5066807,not specified,603,Sinclair Lewis,male,1885-02-07,North America,USA,1951-01-10,Individual
1945,Physiology or Medicine,1/3,121333,2499993,not specified,339,Sir Alexander Fleming,male,1881-08-06,Europe,Scotland,1955-03-11,Individual
1979,Economic Sciences,1/2,800000,2988048,1979-10-16,693,Sir Arthur Lewis,male,1915-01-23,North America,British West Indies,1991-06-15,Individual
1925,Peace,1/2,118165,3211005,1926-12-10,488,Sir Austen Chamberlain,male,1863-10-16,Europe,United Kingdom,1937-03-16,Individual
1970,Physiology or Medicine,1/3,400000,3177966,1970-10-15,394,Sir Bernard Katz,male,1911-03-26,Europe,Germany,2003-04-20,Individual
1930,Physics,1,172947,5066807,not specified,37,Sir Chandrasekhara Venkata Raman,male,1888-11-07,Asia,India,1970-11-21,Individual
1932,Physiology or Medicine,1/2,171753,5279293,not specified,323,Sir Charles Sherrington,male,1857-11-27,Europe,United Kingdom,1952-03-04,Individual
1956,Chemistry,1/2,200123,2699501,not specified,219,Sir Cyril Hinshelwood,male,1897-05-19,Europe,United Kingdom,1967-10-09,Individual
1960,Physiology or Medicine,1/2,225987,2664941,1960-10-20,369,Sir Frank Macfarlane Burnet,male,1899-09-03,Oceania,Australia,1985-08-31,Individual
1929,Physiology or Medicine,1/2,172760,4907955,not specified,320,Sir Frederick Hopkins,male,1861-06-20,Europe,United Kingdom,1947-05-16,Individual
2018,Chemistry,1/4,9000000,9000000,2018-10-03,965,Sir Gregory P. Winter,male,1951-04-14,Europe,United Kingdom,not dead or organization,Individual
1996,Chemistry,1/3,7400000,9490424,1996-10-09,285,Sir Harold Kroto,male,1939-10-07,Europe,United Kingdom,2016-04-30,Individual
1936,Physiology or Medicine,1/2,159850,4913422,not specified,330,Sir Henry Dale,male,1875-06-09,Europe,United Kingdom,1968-07-23,Individual
1945,Physiology or Medicine,1/3,121333,2499993,not specified,341,Sir Howard Florey,male,1898-09-24,Oceania,Australia,1968-02-21,Individual
2016,Chemistry,1/3,8000000,8301051,2016-10-05,932,Sir J. Fraser Stoddart,male,1942-05-24,Europe,United Kingdom,not dead or organization,Individual
1988,Physiology or Medicine,1/3,2500000,4645689,not specified,437,Sir James W. Black,male,1924-06-14,Europe,Scotland,2010-03-21,Individual
2012,Physiology or Medicine,1/2,8000000,8361204,not specified,874,Sir John B. Gurdon,male,1933-10-02,Europe,United Kingdom,not dead or organization,Individual
1963,Physiology or Medicine,1/3,265000,2839286,not specified,375,Sir John Eccles,male,1903-01-27,Oceania,Australia,1997-05-02,Individual
2007,Physiology or Medicine,1/3,10000000,11301989,2007-10-08,812,Sir Martin J. Evans,male,1941-01-01,Europe,United Kingdom,not dead or organization,Individual
1977,Physics,1/3,700000,3080986,1977-10-11,108,Sir Nevill F. Mott,male,1905-09-30,Europe,United Kingdom,1996-08-08,Individual
1933,Peace,1,170332,5413093,1934-12-10,498,Sir Norman Angell,male,1872-12-26,Europe,United Kingdom,1967-10-07,Individual
2001,Physiology or Medicine,1/3,10000000,12295082,2001-10-08,737,Sir Paul Nurse,male,1949-01-25,Europe,United Kingdom,not dead or organization,Individual
2019,Physiology or Medicine,1/3,9000000,9000000,2019-10-07,971,Sir Peter J. Ratcliffe,male,1954-05-14,Europe,United Kingdom,not dead or organization,Individual
2003,Physiology or Medicine,1/2,10000000,11807305,2003-10-06,765,Sir Peter Mansfield,male,1933-10-09,Europe,United Kingdom,2017-02-08,Individual
1947,Chemistry,1,146115,2914528,not specified,207,Sir Robert Robinson,male,1886-09-13,Europe,United Kingdom,1975-02-08,Individual
1904,Chemistry,1,140859,7767960,not specified,163,Sir William Ramsay,male,1852-10-02,Europe,Scotland,1916-07-23,Individual
1972,Chemistry,1/4,480000,3345725,not specified,242,Stanford Moore,male,1913-09-04,North America,USA,1982-08-23,Individual
1997,Physiology or Medicine,1,7500000,9572839,1997-10-06,457,Stanley B. Prusiner,male,1942-05-28,North America,USA,not dead or organization,Individual
1986,Physiology or Medicine,1/2,2000000,4098361,not specified,434,Stanley Cohen,male,1922-11-17,North America,USA,2020-02-05,Individual
2014,Chemistry,1/3,8000000,8379888,2014-10-08,910,Stefan W. Hell,male,1962-12-23,Europe,Romania,not dead or organization,Individual
1997,Physics,1/3,7500000,9572839,1997-10-15,152,Steven Chu,male,1948-02-28,North America,USA,not dead or organization,Individual
1979,Physics,1/3,800000,2988048,1979-10-15,115,Steven Weinberg,male,1933-05-03,North America,USA,not dead or organization,Individual
1983,Physics,1/2,1500000,3715324,1983-10-19,122,Subramanyan Chandrasekhar,male,1910-10-19,Asia,India,1995-08-21,Individual
1901,Literature,1,150782,8567159,not specified,569,Sully Prudhomme,male,1839-03-16,Europe,France,1907-09-07,Individual
1982,Physiology or Medicine,1/3,1150000,3102518,1982-10-11,425,Sune K. Bergström,male,1916-01-10,Europe,Sweden,2004-08-15,Individual
1987,Physiology or Medicine,1,2175000,4274764,not specified,436,Susumu Tonegawa,male,1939-09-05,Asia,Japan,not dead or organization,Individual
1903,Chemistry,1,141358,7795478,not specified,162,Svante Arrhenius,male,1859-02-19,Europe,Sweden,1927-10-02,Individual
2015,Literature,1,8000000,8384572,2015-10-08,924,Svetlana Alexievich,female,1948-05-31,Europe,Ukraine,not dead or organization,Individual
2002,Physiology or Medicine,1/3,10000000,12034660,2002-10-07,750,Sydney Brenner,male,1927-01-13,Africa,South Africa,2019-04-05,Individual
1948,Literature,1,159773,3056881,not specified,619,T.S. Eliot,male,1888-09-26,North America,USA,1965-01-04,Individual
1950,Physiology or Medicine,1/3,164304,3050198,not specified,350,Tadeus Reichstein,male,1897-07-20,Europe,Poland,1996-08-01,Individual
2015,Physics,1/2,8000000,8384572,2015-10-06,919,Takaaki Kajita,male,1959-03-09,Asia,Japan,not dead or organization,Individual
2018,Physiology or Medicine,1/2,9000000,9000000,not specified,959,Tasuku Honjo,male,1942-01-27,Asia,Japan,not dead or organization,Individual
2011,Peace,1/3,10000000,10545557,2011-10-07,871,Tawakkol Karman,female,1979-02-07,Asia,Yemen,not dead or organization,Individual
1989,Peace,1,3000000,5242311,1989-10-05,551,The 14th Dalai Lama ,male,1935-07-06,Asia,Tibet,not dead or organization,Individual
1926,Chemistry,1,116960,3273134,not specified,183,The Svedberg,male,1884-08-30,Europe,Sweden,1971-02-25,Individual
1909,Physiology or Medicine,1,139800,7084459,not specified,303,Theodor Kocher,male,1841-08-25,Europe,Switzerland,1917-07-27,Individual
1902,Literature,1,141847,8059489,not specified,571,Theodor Mommsen,male,1817-11-30,Europe,Schleswig,1903-11-01,Individual
2005,Physics,1/4,10000000,11711430,2005-10-04,793,Theodor W. Hänsch,male,1941-10-30,Europe,Germany,not dead or organization,Individual
1906,Peace,1,138536,7421571,1906-12-10,470,Theodore Roosevelt,male,1858-10-27,North America,USA,1919-01-06,Individual
1914,Chemistry,1,146900,7062500,1915-11-11,175,Theodore W. Richards,male,1868-01-31,North America,USA,1928-04-02,Individual
1979,Economic Sciences,1/2,800000,2988048,1979-10-16,692,Theodore W. Schultz,male,1902-04-30,North America,USA,1998-02-26,Individual
2009,Chemistry,1/3,10000000,10958504,2009-10-07,842,Thomas A. Steitz,male,1940-08-23,North America,USA,2018-08-23,Individual
2005,Economic Sciences,1/2,10000000,11711430,2005-10-10,800,Thomas C. Schelling,male,1921-04-14,North America,USA,2016-12-13,Individual
2013,Physiology or Medicine,1/3,8000000,8365867,not specified,886,Thomas C. Südhof,male,1955-12-22,Europe,Germany,not dead or organization,Individual
1933,Physiology or Medicine,1,170332,5413093,not specified,325,Thomas H. Morgan,male,1866-09-25,North America,USA,1945-12-04,Individual
